mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.5787012577056885,0.1257223347515385,0.15830516815185547,0.02607317157507066,200,5,4,20,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 20}",0.9971870604781998,0.9957627118644068,0.996481351161154,0.9964770411679202,0.0005814958729774972,9
1.975974718729655,0.09725112865324752,0.07660182317097981,0.0035992546720963674,100,2,2,,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.9985915492957746,0.9964714184897671,0.997179125528914,0.9974140311048186,0.0008813338871048062,3
2.171597957611084,0.31275216015559204,0.08031646410624187,0.010882477935522626,100,5,1,,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.9992952783650458,0.9964714184897671,0.9978828510938604,0.9978831826495579,0.0011528359904309181,1
4.286720673243205,0.13248080442413604,0.1459494431813558,0.00582675570076033,200,2,1,30,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_depth': 30}",0.9985915492957746,0.9964664310954064,0.997179125528914,0.9974123686400317,0.0008831132819168606,4
4.0201309521993,0.24467535184601763,0.11530756950378418,0.00610842273129263,200,10,1,20,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': 20}",0.9985915492957746,0.9957627118644068,0.998589562764457,0.9976479413082128,0.0013330587705027682,2
1.7567031383514404,0.044442028076651534,0.06855551401774089,0.0066426280331815385,100,5,2,20,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 20}",0.9985915492957746,0.9964714184897671,0.9964714184897671,0.9971781287584363,0.0009994392466203127,7
0.8330838680267334,0.10172611470267333,0.04443025588989258,0.0032929145780135364,50,5,1,10,"{'model__n_estimators': 50, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 10}",0.998589562764457,0.9957627118644068,0.9978828510938604,0.9974117085742414,0.001201180796306527,5
0.863069216410319,0.10087575960201974,0.04639744758605957,0.003371869166081001,50,2,4,10,"{'model__n_estimators': 50, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 10}",0.9971870604781998,0.9964714184897671,0.9943582510578279,0.996005576675265,0.001200915520564806,10
3.257296562194824,0.14621944947187687,0.13731630643208823,0.0197362851358594,200,5,2,30,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 30}",0.9985915492957746,0.9957627118644068,0.9971830985915493,0.9971791199172436,0.001154871472116818,6
3.190898577372233,0.05864001033637585,0.12975756327311197,0.00915578104873061,200,2,2,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.9985915492957746,0.9957627118644068,0.9964763918252291,0.9969435509951369,0.001201182353849368,8
